title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,rating,genre,language,director,producer,writer,theater_release,streaming_release,gross_usa,runtime,production_co,crew,link
The Tale of the Princess Kaguya,2013,"A tiny nymph found inside a bamboo stalk grows into a beautiful and desirable young woman, who orders her suitors to prove their love by completing a series of near-impossible tasks.",100,90,"Boasting narrative depth, frank honesty, and exquisite visual beauty, The Tale of the Princess Kaguya is a modern animated treasure with timeless appeal.",96,"10,000+",PG,"fantasy, anime",Japanese,Isao Takahata,"Geoffrey Wexler, Seiichirô Ujiie","Isao Takahata, Riko Sakaguchi",2014-10-17,2019-12-14,681100,137,Studio Ghibli,"Chloë Grace Moretz, James Caan, Mary Steenburgen, Darren Criss, Lucy Liu, James Marsden, Oliver Platt, Beau Bridges, Dean Cain, John Cho, Isao Takahata, Isao Takahata, Riko Sakaguchi, Seiichirô Ujiie, Frank Marshall, Yoshiaki Nishimura, Yoshio Okubo, Keisuke Nakamura, Joe Hisaishi",http://www.rottentomatoes.com/m/the_tale_of_the_princess_kaguya
A Fantastic Woman,2017,A transgender singer faces scorn and discrimination after the sudden death of her older boyfriend.,94,78,"Subtle and tender, A Fantastic Woman handles its timely, sensitive subject matter with care.",221,"1,000+",R,"gay and lesbian, drama",Spanish,Sebastián Lelio,"Juan de Dios Larraín, Pablo Larraín, Sebastián Lelio, Gonzalo Maza","Sebastián Lelio, Gonzalo Maza",2018-02-02,2018-05-23,2000000,103,"Muchas Gracias, Fabula, Komplizen Film, Participant Media, Setembro Cine","Daniela Vega, Francisco Reyes, Luis Gnecco, Amparo Noguera, Néstor Cantillana, Alejandro Goic, Antonia Zegers, Gonzalo Maza, Gonzalo Maza, Benjamín Echazarreta, Soledad Salfate",http://www.rottentomatoes.com/m/a_fantastic_woman
Children of Paradise,1945,"In this expansive drama, the lovely and enigmatic Parisian actress Garance (Arletty) draws the attention of various men in her orbit, including the thoughtful mime Baptiste (Jean-Louis Barrault) and the ambitious actor Frédérick (Pierre Brasseur). Though Garance and Baptiste have an undeniable connection, their fortunes shift considerably, pushing them apart as well as bringing them back together, even as they pursue other relationships and lead separate lives.",98,95,"Strong performances abound, and Carne's wit and grace are evident in this masterful (if long) French epic.",40,"5,000+",unknown,romance,French,Marcel Carné,Raymond Borderie,Jacques Prévert,,2017-03-11,31900,195,Pathé Cinéma,"Arletty, Jean-Louis Barrault, Pierre Brasseur, María Casares, Pierre Renoir, Gaston Modot, Fabien Loris, Marcel Pérès, Marcel Carné, Jacques Prévert, Raymond Borderie, Joseph Kosma, Marc Fossard, Roger Hubert, Madeleine Bonin, Henri Rust, Alexandre Trauner",http://www.rottentomatoes.com/m/children_of_paradise
Three Colors: Red,1994,"Part-time model Valentine (Irène Jacob) meets a retired judge (Jean-Louis Trintignant) who lives in her neighborhood after she runs over his dog. At first the judge gifts Valentine with the dog, but her possessive boyfriend won't allow her to keep it. When she returns with the dog to the judge's house, she discovers him listening in on his neighbors' phone conversations. At first Valentine is outraged, but her debates with the judge over his behavior soon leads them to form a strange bond.",100,94,"A complex, stirring, and beautifully realized portrait of interconnected lives, Red is the captivating conclusion to a remarkable trilogy.",54,"25,000+",R,drama,French,Krzysztof Kieslowski,unknown,"Krzysztof Kieslowski, Krzysztof Piesiewicz",,2017-03-11,858400,99,"Canal+, MK2 Productions, CAB Productions, France 3 Cinéma, Office Fédéral de la Culture","Irène Jacob, Jean-Louis Trintignant, Jean-Pierre Lorit, Juliette Binoche, Julie Delpy, Benoît Régent, Zbigniew Zamachowski, Krzysztof Kieslowski, Krzysztof Kieslowski, Krzysztof Piesiewicz",http://www.rottentomatoes.com/m/1058966-red
BPM (Beats Per Minute),2017,"Nathan is a young man who joins an AIDS activist group in 1990s Paris. As he attends the weekly meetings, he learns that some members prefer a more radical approach to their protests.",98,83,"Moving without resorting to melodrama, BPM offers an engrossing look at a pivotal period in history that lingers long after the closing credits roll.",131,"1,000+",unknown,"gay and lesbian, drama",French,Robin Campillo,"Hugues Charbonneau, Marie-Ange Luciani","Robin Campillo, Philippe Mangeot",2017-10-20,2018-01-23,125100,143,"Indéfilms 5, Memento Films, Les Films de Pierre, Page 114, Cofinova 13, France 3 Cinéma, FD Production","Arnaud Valois, Antoine Reinartz, Ariel Borenstein, Simon Bourgade, Simon Guélat, Robin Campillo, Robin Campillo, Philippe Mangeot, Hugues Charbonneau, Marie-Ange Luciani, Jeanne Lapoirie, Robin Campillo, Arnaud Rebotini",http://www.rottentomatoes.com/m/bpm
Sing Street,2016,"In 1985, a Dublin teenager (Ferdia Walsh-Peelo) forms a rock 'n' roll band to win the heart of an aspiring model (Lucy Boynton).",95,92,"Sing Street is a feel-good musical with huge heart and irresistible optimism, and its charmimg cast and hummable tunes help to elevate its familiar plotting.",210,"10,000+",PG-13,"comedy, drama, romance, music",English,John Carney,"Anthony Bregman, Martina Niland, John Carney",John Carney,2016-05-13,2017-04-01,3200000,106,"PalmStar Media Capital, Cosmo Films, Likely Story, Distressed Films, FilmWave, Merced Media Partners","Ferdia Walsh-Peelo, Lucy Boynton, Jack Reynor, Aidan Gillen, Maria Doyle Kennedy, Mark McKenna, Ian Kenny, Ben Carolan, Percy Chamburuka, John Carney, John Carney, Anthony Bregman, Martina Niland, John Carney, Kevin Frakes, Raj Brinder Singh, Bob Weinstein, Harvey Weinstein, Yaron Orbach",http://www.rottentomatoes.com/m/sing_street
Burning,2018,"Jong-soo runs into Hae-mi, a girl who once lived in his neighborhood, and she asks him to watch her cat while she's out of town. When she returns, she introduces him to Ben, a man she met on the trip. Ben proceeds to tell Jong-soo about his hobby.",95,80,Burning patiently lures audiences into a slow-burning character study that ultimately rewards the viewer's patience -- and subverts many of their expectations.,194,"1,000+",unknown,"mystery and thriller, drama",Korean,Lee Chang-dong,"Lee Chang-dong, Ok Gwang-hui",Lee Chang-dong,2018-10-26,2019-01-29,715000,148,Pine House Film,"Yu Ah-in, Steven Yeun, Jun Jong-seo, Choi Seung-Ho, Moon Seong-geun, Min Bok-gi, Lee Chang-dong, Lee Chang-dong, Lee Chang-dong, Gyeong-pyo Hong, Haruki Murakami, Kim Hyeon, Ok Gwang-hui, Mowg",http://www.rottentomatoes.com/m/burning_2018
Playtime,1967,"Clumsy Monsieur Hulot (Jacques Tati) finds himself perplexed by the intimidating complexity of a gadget-filled Paris. He attempts to meet with a business contact but soon becomes lost. His roundabout journey parallels that of an American tourist (Barbara Dennek), and as they weave through the inventive urban environment, they intermittently meet, developing an interest in one another. They eventually get together at a chaotic restaurant, along with several other quirky characters.",98,90,"A remarkable achievement, Playtime's packs every scene with sight gags and characters that both celebrates and satirizes the urbanization of modern life.",51,"5,000+",unknown,comedy,French,Jacques Tati,Bernard Maurice,Jacques Lagrange,1973-06-27,2017-03-23,,93,"Jolly Film, Specta Films","Jacques Tati, Barbara Dennek, Jacqueline Lecomte, Valérie Camille, France Rumilly, France Delahalle, Jacques Tati, Jacques Lagrange, Jacques Tati, Bernard Maurice, Francis Lemarque, Andréas Winding, Gérard Pollicand",http://www.rottentomatoes.com/m/playtime
The Blue Angel,1930,"Prim educator Immanuel Rath (Emil Jannings) finds some of his students ogling racy photos of cabaret performer Lola Lola (Marlene Dietrich) and visits a local club, The Blue Angel, in an attempt to catch them there. Seeing Lola perform, the teacher is driven mad with lust, eventually resigning his position at the school to marry his beloved. However, married life with a woman whose job is to make men desire her proves more difficult than Rath imagined.",96,86,Marlene Dietrich steals more than one show in this backstage tragedy about a lowly professor besotted with a cruel and enigmatic singer.,45,"5,000+",unknown,drama,German,Josef von Sternberg,Erich Pommer,unknown,1930-01-03,2017-02-06,,94,Universum Film A.G.,"Emil Jannings, Marlene Dietrich, Hans Albers, Kurt Gerron, Rosa Valetti, Reinhold Bernt, Hans Roth, Rolf Müller, Josef von Sternberg, Erich Pommer",http://www.rottentomatoes.com/m/1002681-blue_angel
God's Own Country,2017,A young farmer numbs his frustrations with drinking and casual sex until a Romanian migrant worker sets him on a new path.,98,87,"A quiet, moving rumination on loneliness and newfound intimacy, God's Own Country marks an outstanding directorial debut for Francis Lee.",128,"2,500+",unknown,"gay and lesbian, drama, romance",English,Francis Lee,"Manon Ardisson, Jack Tarling",Francis Lee,2017-10-25,2018-01-30,281500,104,"Shudder Films, Met Film, Inflammable Films","Josh O'Connor, Alec Secareanu, Gemma Jones, Ian Hart, Patsy Ferran, Melanie Kilburn, Liam Thomas, Francis Lee, Francis Lee, Manon Ardisson, Jack Tarling, Cavan Ash, Mary Burke, Anna Duffield, Richard Holmes, Diarmid Scrimshaw, Paul Webster",http://www.rottentomatoes.com/m/gods_own_country_2017
The Red Circle,1970,"When French criminal Corey (Alain Delon) gets released from prison, he resolves to never return. He is quickly pulled back into the underworld, however, after a chance encounter with escaped murderer Vogel (Gian Maria Volonte). Along with former policeman and current alcoholic Jansen (Yves Montand), they plot an intricate jewel heist. All the while, quirky Police Commissioner Mattei (Bourvil), who was the one to lose custody of Vogel, is determined to find him.",95,92,"Melville is at the top of his game, giving us his next-to-last entry into the world of deception, crime, and extreme suspense that made him a maestro of the French heist genre.",62,"5,000+",unknown,"crime, drama",French,Jean-Pierre Melville,unknown,Jean-Pierre Melville,1970-01-02,2016-10-08,,140,"Les films Corona, Selenia Cinematografica","Yves Montand, Alain Delon, Bourvil, Gian Maria Volonte, Paul Crauchet, Paul Amiot, Pierre Collet, Andre Ekyan, Jean-Pierre Posier, Jean-Pierre Melville, Jean-Pierre Melville",http://www.rottentomatoes.com/m/le_cercle_rouge
Loveless,2017,An estranged Russian couple going through a brutal divorce both have new partners and want to start over until their 12-year-old son disappears after witnessing one of their fights.,95,83,Loveless uses its riveting portrait of a family in crisis to offer thought-provoking commentary on modern life in Russia -- and the world beyond its borders.,184,"1,000+",R,drama,Russian,Andrey Zvyagintsev,"Gleb Fetisov, Sergey Melkumov, Alexander Rodnyansky","Oleg Negin, Andrey Zvyagintsev",2018-02-16,2018-09-19,564100,127,"Senator Film Produktion, arte France Cinéma, Non-Stop Productions, Les Films du Fleuve, Why Not Productions","Maryana Spivak, Matvey Novikov, Marina Vasilyeva, Andris Keishs, Daria Pisareva, Varvara Shmykova, Sergey Borisov, Andrey Zvyagintsev, Oleg Negin, Andrey Zvyagintsev, Gleb Fetisov, Sergey Melkumov, Alexander Rodnyansky, Evgueni Galperine, Mikhail Krichman",http://www.rottentomatoes.com/m/loveless_2018
The Rules of the Game,1939,"In this melancholy French social satire, André (Roland Toutain) is having an affair with Christine (Nora Gregor), whose husband, Robert (Marcel Dalio), himself is hiding a mistress. Meanwhile Christine's married maid, Lisette (Paulette Dubost), is romantically entangled with the local poacher. At a hunting party, trusted friend Octave (Jean Renoir) also confesses his feelings for Christine, as the passions of the servants and aristocrats dangerously collide.",96,90,"Its genius escaped many viewers at the time, but in retrospect, The Rules of the Game stands as one of Jean Renoir's -- and cinema's -- finest works.",50,"10,000+",unknown,"comedy, drama",French,Jean Renoir,Claude Renoir,"Carl Koch, Jean Renoir",,2016-02-17,,110,Nouvelles Éditions de Films (NEF),"Marcel Dalio, Nora Gregor, Mila Parely, Roland Toutain, Jean Renoir, Paulette Dubost, Gaston Modot, Julien Carette, Odette Talazac, Pierre Magnier, Jean Renoir, Carl Koch, Jean Renoir, Claude Renoir, Jean-Paul Alphen, Jean Bachelet, Jacques Lemare, Alain Renoir, Marthe Huguet",http://www.rottentomatoes.com/m/the_rules_of_the_game
Gett: The Trial of Viviane Amsalem,2014,"An Israeli woman (Ronit Elkabetz) fights for three years to obtain a divorce from her devout husband (Simon Abkarian), who refuses to grant his permission to dissolve the marriage.",100,81,"On paper, GETT: The Trial of Viviane Amsalem might seem less than thrilling, but on the screen, it delivers two hours of nonstop, tightly wound, brilliantly acted drama.",80,"2,500+",unknown,drama,Hebrew,"Ronit Elkabetz, Shlomi Elkabetz","Sandrine Brauer, Rémi Burah, Denis Carot, Michael Eckelt, Shlomi Elkabetz","Ronit Elkabetz, Shlomi Elkabetz",2015-02-15,2016-03-22,987800,115,"Elzevir et Compagnie, Riva Filmproduktion, Deux Beaux Garcons Films","Ronit Elkabetz, Menashe Noy, Simon Abkarian, Gabi Amrani, Dalia Beger, Shmil Ben-Ari, Abraham Celektar, Rami Danon, Ronit Elkabetz, Shlomi Elkabetz, Ronit Elkabetz, Shlomi Elkabetz, Efrat Bigger, Rémi Burah, Denis Carot, Michael Eckelt, Shlomi Elkabetz",http://www.rottentomatoes.com/m/gett_the_trial_of_viviane_amsalem
Wings of Desire,1987,"Two angels, Damiel (Bruno Ganz) and Cassiel (Otto Sander), glide through the streets of Berlin, observing the bustling population, providing invisible rays of hope to the distressed but never interacting with them. When Damiel falls in love with lonely trapeze artist Marion (Solveig Dommartin), the angel longs to experience life in the physical world, and finds--with some words of wisdom from actor Peter Falk (playing himself) -- that it might be possible for him to take human form.",98,93,"Beyond ravishing, Wings of Desire is Wim Wenders' is aching and heartbreaking exploration of how love makes us human.",56,"25,000+",PG-13,fantasy,German,Wim Wenders,"Anatole Dauman, Wim Wenders","Wim Wenders, Peter Handke",1987-01-01,2017-03-23,120800,128,Argos Films,"Bruno Ganz, Solveig Dommartin, Otto Sander, Curt Bois, Peter Falk, Lajos Kovács, Elmar Wilms, Sigurd Rachman, Wim Wenders, Wim Wenders, Peter Handke, Anatole Dauman, Wim Wenders, Peter Przygodda",http://www.rottentomatoes.com/m/wings_of_desire
The Road,1954,"When Gelsomina (Giulietta Masina), a naïve young woman, is purchased from her impoverished mother by brutish circus strongman Zampanò (Anthony Quinn) to be his wife and partner, she loyally endures her husband's coldness and abuse as they travel the Italian countryside performing together. Soon Zampanò must deal with his jealousy and conflicted feelings about Gelsomina when she finds a kindred spirit in Il Matto (Richard Basehart), the carefree circus fool, and contemplates leaving Zampanò.",98,93,Giulietta Masina and Anthony Quinn's pitiable pair of outsiders provide a poignant contrast between gentleness and might in Federico Fellini's unforgettable parable.,41,"10,000+",unknown,drama,English,Federico Fellini,Dino De Laurentiis,"Federico Fellini, Ennio Flaiano, Tullio Pinelli, Carlo Ponti",,2020-10-15,,115,Ponti-De Laurentiis Cinematografica,"Anthony Quinn, Giulietta Masina, Richard Basehart, Aldo Silvani, Marcella Rovere, Livia Venturini, Gustavo Giorgi, Mario Passante, Federico Fellini, Federico Fellini, Ennio Flaiano, Tullio Pinelli, Dino De Laurentiis, Carlo Ponti, Nino Rota, Otello Martelli, Carlo Carlini, Leo Cattozzo",http://www.rottentomatoes.com/m/the_road_1954
Toni Erdmann,2016,A film by Maren Ade.,93,73,"Toni Erdmann pairs carefully constructed, three-dimensional characters in a tenderly funny character study that's both genuinely moving and impressively ambitious.",239,"5,000+",R,"comedy, drama",German,Maren Ade,"Janine Jackowski, Maren Ade, Jonas Dornbach",Maren Ade,2016-12-25,2017-04-11,1500000,162,"Missing Link Films, Coop99, KNM, Komplizen Film","Peter Simonischek, Michael Wittenborn, Thomas Loibl, Trystan Pütter, Hadewych Minis, Lucy Russell, Ingrid Bisu, Vlad Ivanov, Victoria Cocias, Maren Ade, Maren Ade, Janine Jackowski, Maren Ade, Jonas Dornbach, Ben von Dobeneck, Patrick Orth, Heike Parplies, Silke Fischer",http://www.rottentomatoes.com/m/toni_erdmann
The Young Girls of Rochefort,1967,"Delphine (Catherine Deneuve) and Solange (Françoise Dorléac) are twin sisters who each want to find romance and leave their small seaside town of Rochefort, France. Soon they befriend a couple of visiting carnival workers who frequent their lonely mother's (Danielle Darrieux) café and hire the girls to sing in the carnival. Wanting a career as a songwriter, Solange falls for an American musician, Andy (Gene Kelly), while Delphine dumps her beau and searches Rochefort for her ideal man.",98,84,The Young Girls of Rochefort pays colorful homage to classic Hollywood musicals while earning its own emotionally affecting place of honor in the genre.,44,"2,500+",G,"romance, musical",French,"Jacques Demy, Agnès Varda","Perrine Bauduin, Gilbert De Goldschmidt","Jacques Demy, Julian More",,2017-04-11,88500,125,Miramax,"Catherine Deneuve, Françoise Dorléac, Gene Kelly, George Chakiris, Grover Dale, Jacques Perrin, Danielle Darrieux, Geneviève Thenier, Pamela Hart, Leslie North, Jacques Demy, Agnès Varda, Jacques Demy, Julian More, Perrine Bauduin, Gilbert De Goldschmidt, Michel Legrand, Ghislain Cloquet, Jean Hamon, Bernard Evein",http://www.rottentomatoes.com/m/the_young_girls_of_rochefort
Timbuktu,2014,A Malian cattleman (Ibrahim Ahmed) and his family face the wrath of Islamic fundamentalists after a tragic accident.,98,77,"Gracefully assembled and ultimately disquieting, Timbuktu is a timely film with a powerful message.",123,"5,000+",PG-13,drama,French,Abderrahmane Sissako,"Rémi Burah, Etienne Comar, Sylvie Pialat, Olivier Père","Abderrahmane Sissako, Kessen Tall",,2015-05-26,1100000,97,Les Films du Worso,"Ibrahim Ahmed, Toulou Kiki, Abel Jafri, Fatoumata Diawara, Hichem Yacoubi, Kettly Noël, Layla Walet Mohamed, Adel Mahmoud Cherif, Salem Dendou, Abderrahmane Sissako, Abderrahmane Sissako, Kessen Tall, Rémi Burah, Etienne Comar, Sylvie Pialat, Nadia Ben Rachid",http://www.rottentomatoes.com/m/timbuktu_2015
Jiro Dreams of Sushi,2011,"Revered sushi chef Jiro Ono strives for perfection in his work, while his eldest son, Yoshikazu, has trouble living up to his father's legacy.",99,91,"Beautiful, thoughtful, and engrossing, Jiro Dreams of Sushi should prove satisfying even for filmgoers who don't care for the cuisine.",95,"25,000+",PG,documentary,Japanese,David Gelb,"Matt Weaver, Tom Pelligrini",unknown,2012-03-09,2016-08-10,2600000,81,"Preferred Content, Sundial Pictures","Jiro Ono, David Gelb, Joey Carey, Kevin Iwashina, Stefan Nowicki, Matt Weaver, Tom Pelligrini, David Gelb",http://www.rottentomatoes.com/m/jiro_dreams_of_sushi
Border,2018,"Customs officer Tina is known for her extraordinary sense of smell. It's almost as if she can sniff out the guilt on anyone hiding something. But when Vore, a suspicious-looking man, walks past her, her abilities are challenged for the first time ever. Tina can sense Vore is hiding something she can't identify. Even worse, she feels a strange attraction to him. As Tina develops a special bond with Vore and discovers his true identity, she also realizes the truth about herself.",97,76,"Thrilling, unpredictable, and brilliantly acted, Border (Gräns) offers a singular treat to genre fans looking for something different.",128,"1,000+",R,"mystery and thriller, romance, fantasy, horror",Swedish,Ali Abbasi,"Nina Bisgaard, Peter Gustafsson, Petra Jönsson","Ali Abbasi, Isabella Eklöf, John Ajvide Lindqvist",2018-10-26,2019-02-22,771900,108,"Meta Film Stockholm, Kärnfilm, Black Spark Film & TV","Eva Melander, Eero Milonoff, Jörgen Thorsson, Andreas Kundler, Ali Abbasi, Ali Abbasi, John Ajvide Lindqvist, Peter Gustafsson, Petra Jönsson, Meta Louise Foldager, Louis Tisné, Nadim Carlsen",http://www.rottentomatoes.com/m/border_2018
Still Walking,2008,"Twelve years after their beloved eldest son, Junpei, drowned while saving a stranger's life, Kyohei (Yoshio Harada) and Toshiko (Kirin Kiki) welcome their surviving children home for a family reunion. Younger son Ryota (Hiroshi Abe) still feels that his parents resent that he isn't the one who died; his new wife, Yukari (Yui Natsukawa), is awkwardly meeting the rest of the family for the first time. Daughter Chinami (You) strains to fill the uncomfortable pauses with forced cheer.",100,90,"Hirokazu Kore-eda's film may seem modest at first, but this family drama casts a delicate, entrancing spell.",64,"2,500+",unknown,drama,Japanese,Hirokazu Koreeda,"Yoshihiro Kato, Satoshi Kono, Hijiri Taguchi, Masahiro Yasuda",Hirokazu Koreeda,2009-08-28,2016-07-23,163500,114,IFC Films,"Hiroshi Abe, You, Yoshio Harada, Ryôga Hayashi, Haruko Kato, Kirin Kiki, Yui Natsukawa, Hotaru Nomoto, Kazuya Takahashi, Shohei Tanaka, Hirokazu Koreeda, Hirokazu Koreeda, Yoshihiro Kato, Satoshi Kono, Hijiri Taguchi, Hirokazu Koreeda",http://www.rottentomatoes.com/m/1216014-still_walking
All About My Mother,1999,"A Greek saying states that only women who have washed their eyes with tears can see clearly. This saying does not hold true for Manuela. The night a car ran over her son Esteban, Manuela cried until her eyes ran completely dry. Far from seeing clearly, the present and the future become mixed up in darkness. She begins looking for his father who has become a transvestite.",98,93,"Almodovar weaves together a magnificent tapestry of femininity with an affectionate wink to classics of theater and cinema in this poignant story of love, loss and compassion.",90,"50,000+",R,"comedy, drama",Spanish,Pedro Almodóvar,Agustín Almodóvar,Pedro Almodóvar,,2014-02-12,8300000,99,"Via Digital, El Deseo S.A.","Cecilia Roth, Eloy Azorín, Marisa Paredes, Penélope Cruz, Antonia San Juan, Rosa María Sardá, Toni Canto, Pedro Almodóvar, Pedro Almodóvar, Agustín Almodóvar, Michel Ruben, Affonso Beato, José Salcedo, Antxón Gómez, Antxón Gómez",http://www.rottentomatoes.com/m/all_about_my_mother
Poetry,2010,At the end of her life a woman searches for new meaning.,100,86,"Poetry is an absorbing, poignant drama because it offers no easy answers to its complex central conflict.",72,"5,000+",unknown,drama,Korean,Chang-dong Lee,Jun-dong Lee,Chang-dong Lee,,2016-08-10,355000,139,Painhauseupilreum,"Jeong-hee Yoon, Da-wit Lee, Hira Kim, Ahn Naesang, Yong-taek Kim, Chang-dong Lee, Chang-dong Lee, Jun-dong Lee, Hyun Seok Kim, Hyun Kim",http://www.rottentomatoes.com/m/poetry_2010
The Band's Visit,2007,"The eight Egyptian musicians who comprise the Alexandria Ceremonial Police Orchestra arrive by mistake in a small town in Israel's Negev Desert. Their booking set for a different city, and with no transportation out of the town or any hotels to stay at, the band settles at a restaurant owned by Dina (Ronit Elkabetz), who offers them lodging. Overcoming ethnic barriers, the Egyptians find diversion and companionship with the Israelis through a pervading undercurrent of shared melancholy.",98,86,"The Band's Visit is both a clever, subtle slice-of-life comedy, and poignant cross-cultural exploration.",119,"10,000+",PG-13,"comedy, drama",Arabic,Eran Kolirin,"Ehud Bleiberg, Koby Gal-Raday, Guy Jacoel, Eilon Ratzkovsky, Yossi Uzrad",Eran Kolirin,2008-02-08,2013-07-30,3100000,86,"July August Productions, Keshet Broadcasting, Tel Aviv, Bleiberg Entertainment","Sasson Gabai, Ronit Elkabetz, Saleh Bakri, Khalifa Natour, Rubi Moskovitz, Uri Gavriel, Imad Jabarin, Hilla Sarjon, Eran Kolirin, Eran Kolirin, Ehud Bleiberg, Koby Gal-Raday, Guy Jacoel, Eilon Ratzkovsky, Yossi Uzrad, Shai Goldman, Arik Leibovitch",http://www.rottentomatoes.com/m/the_bands_visit
The Seventh Seal,1956,"When disillusioned Swedish knight Antonius Block (Max von Sydow) returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death (Bengt Ekerot) to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof (Nils Poppe) and his wife, Mia (Bibi Andersson), and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",93,93,"Narratively bold and visually striking, The Seventh Seal brought Ingmar Bergman to the world stage -- and remains every bit as compelling today.",61,"25,000+",unknown,"drama, fantasy",Swedish,Ingmar Bergman,Allan Ekelund,Ingmar Bergman,,2016-08-10,,96,Svensk Filmindustri,"Max von Sydow, Gunnar Björnstrand, Nils Poppe, Bibi Andersson, Bengt Ekerot, Inga Gill, Gunnel Lindblom, Bertil Anderberg, Ingmar Bergman, Ingmar Bergman, Allan Ekelund, Gunnar Fischer, P.A. Lundgren, Manne Lindholm",http://www.rottentomatoes.com/m/seventh_seal
Waste Land,2010,"Located just outside Rio de Janeiro, Jardim Gramacho, Brazil, is the world's largest garbage landfill. Modern artist Vik Muniz works with the so-called catadores, the men and women who pick through the refuse, to create art out of recycled materials. Muniz selects six of the garbage pickers to pose as subjects in a series of photographs mimicking famous paintings. In his desire to assist the catadores and change their lives, Muniz finds himself changed as well.",100,90,"Waste Land begins with an eco-friendly premise, but quickly transforms into an uplifting portrait of the power of art and the dignity of the human spirit.",71,"5,000+",PG,documentary,English,"Lucy Walker, Karen Harley, João Jardim",Angus Aynsley,unknown,2010-10-29,2016-11-18,187700,98,unknown,"Vik Muniz, Lucy Walker, Karen Harley, João Jardim, Fernando Meirelles, Jackie De Botton, Angus Aynsley, Moby, Pedro Kos",http://www.rottentomatoes.com/m/waste-land
The Taste of Others,2000,"Castella (Jean-Pierre Bacri) is a successful businessman caught behind the fast-changing times. More out of boredom than out of interest, he allows his wife Anglique (Christiane Millet) to drag him to a performance of Racine's ""Bérénice."" Much to his surprise, he is overwhelmed by the power and beauty of the lead actress, Clara (Anne Alvaro). Finally, these two polar opposites are forced together when Castella tries to learn English and his English teacher turns out to be Clara.",100,82,"The Taste of Others is a fresh, witty comedy about the attraction of opposites. The characters are well-drawn and engaging and their social interactions believable.",59,"5,000+",R,comedy,French,Agnès Jaoui,Charles Gassot,"Jean-Pierre Bacri, Agnès Jaoui",,2002-02-26,635300,112,"Le Studio Canal +, Les Films A4, France 2 Cinema","Jean-Pierre Bacri, Anne Alvaro, Alain Chabat, Brigitte Catillon, Christiane Millet, Wladimir Yordanoff, Xavier De Guillebon, Jean-Pierre Bacri, Charles Gassot, Laurent Dailland, Hervé de Luze, Brigitte Moidon, Jackie Budin, Jacky Reynal",http://www.rottentomatoes.com/m/the_taste_of_others
Godzilla,1954,A fire-breathing behemoth terrorizes Japan after an atomic bomb awakens it from its centuries-old sleep.,93,89,"More than straight monster-movie fare, Gojira offers potent, sobering postwar commentary.",74,"5,000+",unknown,sci fi,Japanese,Ishirô Honda,Tomoyuki Tanaka,"Ishirô Honda, Shigeru Kayama",,2014-04-20,,98,"Toho Company Ltd., Jewell Enterprises","Takashi Shimura, Momoko Kochi, Akira Takarada, Akihiko Hirata, Sachio Sakai, Fuyuki Murakami, Ren Yamamoto, Ishirô Honda, Ishirô Honda, Shigeru Kayama, Tomoyuki Tanaka, Masao Tamai",http://www.rottentomatoes.com/m/godzilla_1956
Amour,2012,"Retired music teachers Georges (Jean-Louis Trintignant) and Anne (Emmanuelle Riva) have spent their lives devoted to their careers and to each other. Their relationship faces its greatest challenge when Anne suffers a debilitating stroke. Though Georges himself suffers from the aches and infirmities of old age, he bravely ignores his own discomfort to take care of his wife, and is determined to keep his promise to her that she never go back to the hospital.",93,82,"With towering performances and an unflinching script from Michael Haneke, Amour represents an honest, heartwrenching depiction of deep love and responsibility.",224,"10,000+",PG-13,drama,French,Michael Haneke,"Margaret Ménégoz, Stefan Arndt, Veit Heideuschka, Michael Katz",Michael Haneke,2012-12-19,2016-07-13,3700000,127,"Les Films du Losange, Westdeutscher Rundfunk, Bayerischer Rundfunk","Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud, William Shimell, Rita Blanco, Carole Franck, Dinara Droukarova, Laurent Capelluto, Michael Haneke, Michael Haneke, Margaret Ménégoz, Stefan Arndt, Michael Katz, Margaret Ménégoz, Uwe Schott, Michael Katz, Darius Khondji",http://www.rottentomatoes.com/m/amour_2013
Embrace of the Serpent,2015,"In the early 1900s, a young shaman (Nilbio Torres) in the Colombian Amazon helps a sick German explorer (Jan Bijvoet) and his local guide (Miguel Dionisio Ramos) search for a rare healing plant.",96,85,"As rich visually as it is thematically, Embrace of the Serpent offers a feast of the senses for film fans seeking a dose of bracing originality.",148,"5,000+",unknown,"drama, history, adventure",Spanish,Ciro Guerra,Cristina Gallego,"Ciro Guerra, Jacques Toulemonde Vidal",2016-02-17,2016-10-06,1300000,123,"Buffalo Film Co., Caracol Televisión","Jan Bijvoet, Brionne Davis, Nilbio Torres, Miguel Dionisio Ramos, Luigi Sciamanna, Antonio Bolivar, Ciro Guerra, Cristina Gallego, David Gallego, Nascuy Linares, Ciro Guerra, Jacques Toulemonde Vidal",http://www.rottentomatoes.com/m/embrace_of_the_serpent
